,C1,C2,Splitpoint,Predicted ERT,Achieved ERT
0,00110010000,00110010010,10e-0.6,15127.1,20538.4
1,00110010020,00110010010,10e-0.6,15127.1,20538.4
2,00110010010,00101000120,10e-1.4,15417.6,43900.2
3,00110000110,00110010010,10e1.6,15473.1,20386.9
4,00110010000,00101000120,10e-1.4,15752.3,46276.3
5,00110010020,00101000120,10e-1.4,15752.3,46276.3
6,00110010010,00110010000,10e-1.4,16664.7,17212.1
7,00110010010,00110010020,10e-1.4,16664.7,17212.1
8,10110010000,00110010020,10e1.2,16996.8,20635.2
9,10110010020,00110010000,10e1.2,16996.8,20635.2
10,10110010020,00110010020,10e1.2,16996.8,20635.2
11,10110010000,00110010000,10e1.2,16996.8,20635.2
12,00110010000,00001010020,10e-1.4,16876.0,40830.8
13,00110010020,00001010020,10e-1.4,16876.0,40830.8
14,10110010010,00001010020,10e-1.4,17295.3,43081.1
15,00000010010,10110010010,10e1.0,17584.3,19356.5
16,10110010020,10110010010,10e1.0,17597.2,17139.5
17,10110010010,00110010120,10e-1.4,17744.3,27384.0
18,10110010010,00101011020,10e-1.4,18554.4,39363.9
19,00100010010,00110010120,10e-1.4,20402.2,29548.6
20,00000010010,10110010000,10e1.0,20183.3,19600.2
21,00000010010,10110010020,10e1.0,20183.3,19600.2
22,00110000110,10110010020,10e1.6,20194.1,19695.4
23,00110000110,10110010000,10e1.6,20194.1,19695.4
24,00111010010,10110010000,10e1.6,20198.0,19010.4
25,00111010010,10110010020,10e1.6,20198.0,19010.4
26,00111010020,00110010120,10e-1.4,20032.8,22491.2
27,00100010010,00111010000,10e-0.6,20288.9,25228.9
28,00100010010,00111010020,10e-0.6,20288.9,25228.9
29,00111010010,00100010010,10e1.0,20668.9,24357.3
30,00110011020,00100010010,10e1.2,20721.9,23701.2
31,00111010000,00100010010,10e1.2,20728.4,23399.5
32,00111010020,00101011020,10e-1.4,20842.9,28553.5
33,00111010000,00101011020,10e-1.4,20842.9,28553.5
34,00111010000,10111010000,10e-1.4,20938.3,22082.8
35,00111010020,10111010000,10e-1.4,20938.3,22082.8
36,10111010010,00111010020,10e0.8,21669.1,24958.2
37,10111010010,00111010000,10e0.8,21669.1,24958.2
38,00110011020,00111010020,10e1.0,21598.8,22828.3
39,00110011020,00111010000,10e1.0,21598.8,22828.3
40,00111000110,00111010010,10e1.6,22781.5,20631.3
41,00101000120,00111010010,10e1.6,22781.0,22475.5
42,10000010010,00111010010,10e1.6,22782.8,22298.1
43,00101010010,10111010020,10e-1.4,23688.0,23732.2
44,00101010010,10111010000,10e-1.4,23688.0,23732.2
45,00101010010,10011010010,10e-1.4,23262.3,27352.5
46,10111010010,00101010010,10e0.2,23246.9,26468.7
47,00001010010,00101010010,10e0.4,23315.0,25250.3
48,10000010010,00101010010,10e0.4,23310.4,23570.7
