,ndim,fid,iid,target,$C_1$ index,$C_{\Gamma}$ index,split,split_value,static_value,Static index,improvement_possible
0,5,2,0,-8.0,1263,2166,0.2,967.9999999999998,1255.0,1275,0.2286852589641436
1,5,2,1,-8.0,396,1299,0.2,1038.3999999999999,1340.4,3570,0.22530587884213682
2,5,2,2,-8.0,3576,2172,0.4,962.2,1234.6,1263,0.22063826340515136
3,5,2,3,-8.0,402,2175,0.2,1042.4,1291.6,1266,0.19293899039950435
4,5,2,4,-8.0,2706,42,0.2,990.0000000000001,1304.6,1275,0.2411467116357503
5,5,3,0,0.0,2922,2922,1.6,13248.0,13248.0,2922,0.0
6,5,3,1,0.0,615,879,1.6,4274.799999999999,4451.0,879,0.03958660975061801
7,5,3,2,0.0,3219,585,0.8,7366.999999999999,10270.8,585,0.2827238384546482
8,5,3,3,0.0,759,2892,1.6,3404.2000000000003,3468.4,2892,0.01850997578134006
9,5,3,4,0.0,2892,1023,1.6,18815.2,18947.8,1023,0.006998173930482632
10,5,4,0,0.6,900,486,1.2,5984.200000000001,10588.6,918,0.4348450220047976
11,5,4,1,0.6,630,1023,1.2,8826.599999999999,8566.8,1023,-0.030326376243171138
12,5,4,2,0.6,3210,900,1.6,6942.0,6682.4,633,-0.03884831796959176
13,5,4,3,0.6,3207,759,1.2,10780.8,9123.2,903,-0.1816906348649594
14,5,4,4,0.6,3060,636,1.6,12068.999999999998,10699.8,42,-0.1279650086917512
15,5,5,0,-8.0,2469,3429,-1.4,584.7999999999996,1208.0,1311,0.5158940397350997
16,5,5,1,-8.0,2163,2661,-6.0,1018.1999999999998,1172.4,2163,0.1315250767656092
17,5,5,2,-8.0,4449,3288,-0.4,480.5999999999998,1195.6,1881,0.5980260956841754
18,5,5,3,-8.0,4449,1119,0.2,356.8000000000003,1131.2,2169,0.6845827439886844
19,5,5,4,-8.0,4170,984,-0.2,463.4,1238.6,1299,0.6258679153883417
20,5,6,0,-8.0,3597,2040,1.4,932.4,1083.6,2175,0.13953488372093015
21,5,6,1,-8.0,2154,1173,1.2,1009.2,1116.2,1176,0.09586095681777462
