,fid,target,split,improvement possible (worstcase),improvement possible (mean),$C_1$ index,$C_{\Gamma}$ index,Static index,split_value,static_value
0,2,-8.0,-1.2,0.07532100667693875,0.1144498453380467,1275,2160,2418,1440.2800000000002,1557.6
1,3,0.4,1.6,0.001851775078424156,0.026375740393864255,2919,879,879,14445.8,14472.6
2,4,0.8,1.6,-0.03121830889406607,0.0,900,900,900,16554.56,16053.4
3,5,-8.0,0.0,0.14207896051974012,0.20291494921738196,1572,1311,867,1373.36,1600.8
4,6,-8.0,0.8,0.08017172841469222,0.12834881955240596,4377,2166,2166,1156.96,1257.8
5,8,-8.0,1.6,0.06219735699816731,0.10766948390577225,906,867,864,1944.44,2073.4
6,9,-8.0,1.4,0.07695257315842585,0.08101957214383237,930,870,870,1829.48,1982.0
7,10,-8.0,-1.4,0.05693710993759005,0.07226195980309502,1266,1302,1266,1571.52,1666.4
8,11,-8.0,-2.0,0.07090771938647222,0.10215222797038903,2706,1302,2706,1478.0,1590.8
9,12,-8.0,1.6,0.05091396408469595,0.07285593130499313,3297,2019,2019,3541.0399999999995,3731.0
10,13,-8.0,-2.2,0.1262884961371573,0.1994152046783625,3186,2028,2901,3302.28,3779.6
11,14,-8.0,-0.6,0.0005869014272376072,0.0254166305634983,3294,1266,1266,1498.52,1499.4
12,15,0.4,1.6,0.007574103171855362,0.03009563194623932,618,879,879,7452.920000000001,7509.8
13,16,-2.0,0.2,0.005746855229977421,0.045782462269173485,906,903,903,26968.52,27124.4
14,17,-4.4,1.6,-7.359927203620664e-05,0.0,969,969,969,29893.8,29891.6
15,18,-4.0,1.6,-0.004181235918247372,1.1102230246251565e-16,678,678,678,30039.68,29914.6
16,19,-0.6,0.0,0.038787860123493,0.07959247073442799,876,591,591,12484.8,12988.6
17,20,0.2,0.8,0.005755475464374937,0.11939599411161161,2850,1830,918,3586.24,3607.0
18,21,-0.6,1.6,-0.00040817076982468947,0.0,2691,2691,2691,32646.72,32633.4
19,22,0.0,1.0,0.03287871681830978,-0.05524855938763218,120,1419,402,10310.48,10661.0
20,23,-0.8,1.6,-7.2856648472008345e-06,0.0,1050,1050,1050,32941.64,32941.4
21,24,1.0,1.6,-0.0232736758205927,0.015238036124387011,3183,876,876,2824.44,2760.2
